,Bhasan Char,Illegal Activity,People Leaving,Myanmar Rights Views,Mental Health,Trust,Access to Help,Personal Support,Violence,Camp Condition,Sex,How satisfied are you with the level of hygiene and sanitation in the camp?,"Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?",How satisfied are you with the quality of healthcare you and your family are receiving in the camp?,Do you think you are able to exercise your religion freely in the camp?,"How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?",Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?,Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?,Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?,How satisfied are you with the quality of education you and your family are receiving in the camp?,How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?,How satisfied are you with the income your family makes in the camp?,How do you mostly hear about the news?,Do you consider any Bangladeshis as your friends?,Do you believe Rohingya and Bangladeshis can be good friends?,Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?,Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?,How often do you talk with Rohingya people outside Bangladesh and Myanmar?,How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Where do you think you will be in six months from now?,How do you feel about the future?
55,0,1,0,2,3,1,3,2,0,0,0,1,2,1,2,3,2,0,0,1,0,0,3,2,2,0,0,5,0,0,0,1,1,3,3
56,0,1,5,2,2,1,3,0,1,0,0,1,2,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,1,3,3
57,0,1,0,2,0,1,3,2,0,0,1,1,2,1,2,3,2,0,0,1,0,0,3,2,2,0,0,1,0,0,0,1,1,3,3
58,2,2,5,0,0,6,3,1,1,0,1,0,2,1,2,0,2,0,0,1,3,1,4,2,2,0,0,0,0,2,2,2,0,7,1
59,2,2,1,0,2,6,0,0,2,1,0,3,2,3,2,3,2,0,0,3,3,1,0,2,2,0,0,0,0,2,0,1,0,7,3
60,2,2,2,2,2,4,0,1,3,0,1,3,2,1,2,0,2,0,0,1,3,1,4,2,2,0,0,1,0,2,0,1,1,7,0
61,2,2,1,0,0,4,0,0,0,2,0,3,2,1,2,0,2,0,0,1,3,4,0,2,2,0,0,1,0,3,2,0,0,7,4
62,2,2,1,0,1,5,3,0,3,0,0,3,2,3,2,0,2,2,2,1,1,1,0,2,2,0,0,0,0,1,0,1,0,7,1
63,2,2,2,0,0,5,0,1,4,0,0,3,2,1,2,0,2,0,0,3,3,1,0,2,2,0,0,0,0,2,0,1,0,7,1
64,1,2,3,0,0,5,3,1,4,0,1,3,2,1,2,4,2,0,0,3,3,1,4,2,2,0,0,0,0,2,0,0,0,7,2
65,2,2,2,0,0,5,3,1,3,0,1,3,2,1,2,4,2,0,0,3,3,1,4,2,2,0,0,0,0,2,0,1,0,7,2
66,2,2,2,0,2,4,3,1,4,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,2,0,1,0,7,3
67,2,2,5,0,0,6,0,4,3,2,0,3,2,3,2,4,2,0,0,1,3,1,1,2,2,2,2,0,0,2,2,0,0,7,3
68,2,2,0,0,0,6,0,0,3,0,0,1,2,3,2,4,2,0,0,3,3,1,0,2,2,0,0,1,0,1,2,0,1,7,3
69,2,2,2,0,0,3,0,1,0,0,0,3,2,3,2,4,2,0,0,3,4,1,0,2,2,0,0,1,0,2,2,0,0,7,3
70,2,2,2,0,3,4,0,0,3,0,1,3,2,3,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,2,2,0,0,7,3
71,2,2,2,0,1,4,0,1,3,0,0,3,2,3,2,4,2,0,0,3,3,1,0,2,2,0,0,1,0,2,2,0,1,7,3
72,2,2,3,0,1,4,0,1,3,0,0,3,2,1,2,4,2,0,0,3,1,1,3,2,2,0,0,0,0,2,2,0,1,7,3
73,2,2,2,0,0,1,0,1,4,0,1,1,2,1,2,4,2,0,0,4,1,1,4,2,2,0,0,1,0,2,2,0,0,7,3
74,1,2,3,0,3,4,0,0,3,0,1,4,2,4,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,2,2,0,1,7,3
75,2,2,1,0,3,4,0,0,3,0,0,4,2,1,2,4,2,0,0,1,3,3,0,2,2,0,0,1,0,2,2,0,0,7,3
76,2,2,2,0,0,4,3,3,0,0,1,3,2,3,2,3,2,0,0,3,3,1,4,2,2,0,0,1,0,2,0,1,1,7,3
77,0,1,0,0,2,1,1,4,2,0,0,4,2,1,2,4,2,0,0,1,1,1,0,2,2,0,0,0,0,2,2,0,0,3,1
78,0,2,0,0,3,1,3,4,2,2,0,3,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,0,0,2,2,0,0,3,1
79,0,2,0,0,3,1,3,4,2,2,1,3,2,1,2,4,2,0,0,0,1,1,3,2,2,0,0,0,0,2,2,0,0,6,2
80,0,1,0,0,4,0,1,4,4,2,1,3,2,1,2,4,2,0,0,1,1,1,3,2,2,2,0,1,0,0,2,0,0,7,1
81,0,1,3,0,3,0,3,4,2,0,1,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,0,0,0,2,0,0,3,2
82,0,1,1,0,3,1,3,3,4,0,0,4,2,1,2,4,2,0,0,3,1,1,3,2,2,0,0,1,0,2,2,0,0,3,3
83,0,1,0,0,2,0,0,4,4,2,0,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,0,2,0,0,3,3
84,0,1,0,0,1,1,3,3,2,0,0,4,2,0,2,4,2,0,0,0,0,1,3,2,2,0,0,5,0,0,2,0,0,7,1
85,0,1,0,0,0,1,3,3,2,0,0,4,0,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,2,2,0,0,9,3
86,0,1,0,0,0,1,3,4,2,2,0,3,2,1,2,1,2,0,0,1,1,1,3,2,2,2,2,5,0,0,2,2,0,6,3
87,0,1,0,0,0,3,3,4,0,2,1,3,2,1,2,4,2,0,0,3,1,1,3,2,2,0,0,0,0,2,2,0,0,3,1
88,2,1,3,0,4,3,3,4,2,0,1,3,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,0,0,2,2,0,0,3,2
89,2,1,0,0,0,0,3,4,2,0,0,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,5,0,2,2,0,0,3,2
90,2,1,0,2,2,1,3,4,2,2,0,4,2,1,2,4,2,0,0,1,1,0,3,2,2,0,0,6,0,0,2,0,0,1,1
91,2,1,3,2,2,1,3,4,4,2,1,3,2,1,2,4,2,0,0,1,1,1,4,2,2,0,0,5,0,2,2,0,0,1,2
92,0,1,1,2,1,4,3,4,2,2,0,1,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,2,2,0,0,1,2
93,2,1,1,0,1,0,3,4,2,2,0,4,2,1,2,4,2,0,0,1,1,1,2,2,2,0,0,1,0,0,2,0,0,3,2
94,3,1,1,0,4,0,3,4,2,2,0,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,3,2,0,0,3,2
95,2,1,0,2,1,1,3,4,2,0,0,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,0,2,0,0,1,2
96,2,1,0,0,0,0,3,4,2,0,0,3,2,1,2,4,2,2,0,1,1,1,3,2,2,0,0,1,0,2,2,0,0,3,1
97,2,1,3,2,1,0,3,4,2,2,0,4,2,1,2,4,2,0,0,1,1,1,0,2,2,0,0,1,0,2,2,0,0,1,3
98,2,1,3,2,2,0,3,4,4,0,0,3,2,0,2,4,2,0,0,1,1,0,3,2,2,0,0,1,0,0,2,0,0,1,1
99,2,1,0,0,1,1,3,4,2,0,0,3,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,0,2,0,0,3,1
100,0,1,0,0,1,0,3,4,2,2,0,3,0,0,2,4,2,0,0,1,0,1,3,2,2,0,0,1,0,0,2,0,0,3,1
101,2,1,0,0,2,1,3,4,2,0,0,4,2,1,2,4,2,0,0,0,1,1,3,2,2,0,0,5,0,0,2,0,0,3,1
102,2,1,3,0,0,3,3,4,4,0,1,4,0,0,2,4,2,0,0,1,1,1,3,2,2,0,0,0,0,0,2,0,0,3,2
103,0,1,0,0,2,3,3,4,2,0,0,3,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,0,2,2,0,7,3
104,0,1,0,2,2,0,3,4,2,0,0,4,0,1,2,4,2,0,0,1,1,1,3,2,2,0,0,0,0,0,2,0,0,1,3
105,2,1,0,2,1,3,3,4,2,2,0,1,2,1,2,4,2,0,0,1,0,1,3,2,2,0,0,0,0,0,2,0,0,1,3
106,0,2,2,0,0,1,0,3,3,2,1,1,2,0,2,4,2,0,0,3,1,0,3,2,2,0,0,0,0,0,2,0,1,3,3
107,0,2,2,0,0,1,0,1,1,0,1,3,2,1,2,4,2,0,0,1,3,3,3,0,0,0,0,3,0,3,2,0,1,9,4
108,0,2,1,0,2,0,0,1,1,2,1,1,0,1,2,4,2,0,0,1,1,0,3,0,2,0,0,3,0,0,2,0,0,3,3
109,0,2,1,0,3,3,0,3,1,1,1,1,2,1,2,3,2,0,0,1,1,0,0,0,2,2,0,0,0,2,2,0,1,3,4
110,0,2,3,2,0,0,1,0,4,2,1,3,2,3,2,4,2,0,0,3,1,0,4,0,2,0,0,0,0,0,2,0,1,3,2
111,0,2,5,1,0,0,2,3,1,0,1,1,0,1,2,4,2,0,0,3,1,0,3,0,0,0,0,0,0,2,2,0,0,9,3
112,0,2,2,0,0,1,0,3,3,2,1,1,0,1,2,4,2,0,0,1,1,1,3,0,0,2,0,0,0,0,2,0,1,3,2
113,0,2,2,0,0,0,0,0,3,2,1,3,2,3,2,4,2,0,0,3,1,0,3,0,2,2,0,2,0,0,2,0,1,3,3
114,0,2,1,0,0,3,3,3,1,2,1,1,2,1,2,4,2,0,0,3,1,1,3,0,0,0,0,0,0,0,2,2,1,3,4
115,0,2,2,0,0,0,0,1,0,2,1,3,0,1,2,4,2,0,0,3,0,1,4,0,2,2,2,3,0,0,2,0,1,9,3
116,0,2,3,2,0,4,0,0,1,2,1,3,2,3,2,4,2,0,0,3,3,3,0,2,2,0,0,0,0,0,2,0,1,1,3
117,0,2,2,0,2,2,0,0,1,2,1,3,2,4,2,4,2,0,0,1,3,3,0,0,0,0,0,1,0,0,2,0,1,3,3
118,0,2,5,2,0,0,0,0,1,0,1,3,2,3,2,4,2,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,1,1,3
119,0,2,2,1,0,0,0,0,3,2,1,3,2,3,2,4,2,0,0,4,0,1,3,0,2,0,0,0,0,0,2,0,1,3,3
120,0,2,2,2,0,0,0,0,0,2,1,3,2,1,2,4,2,0,0,3,3,4,0,2,2,0,0,0,0,0,2,2,1,9,3
121,0,2,2,1,2,0,0,1,1,2,1,3,2,1,2,4,2,0,0,1,0,0,3,0,2,0,0,0,0,0,2,0,1,3,2
122,0,2,1,0,3,4,0,0,1,2,1,4,2,4,2,3,2,0,0,1,3,3,0,2,2,0,0,3,0,3,2,0,1,3,3
123,0,2,2,1,2,1,0,1,1,0,1,1,2,1,2,4,2,0,0,1,0,1,3,0,2,0,0,0,0,0,2,0,1,9,3
124,0,2,5,2,2,5,0,0,1,1,1,3,2,4,2,4,2,0,0,1,3,3,3,2,2,2,0,2,0,0,2,0,1,3,3
125,0,2,1,1,0,1,0,0,1,2,1,3,2,4,2,4,2,0,0,3,3,3,0,2,2,0,0,0,0,0,2,0,1,3,3
126,0,1,2,0,3,3,3,4,3,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,0,2,0,1,5,3
127,0,1,2,0,4,0,0,1,3,0,1,3,2,1,2,4,2,0,0,3,3,1,4,2,2,0,0,1,0,0,2,0,1,3,3
128,0,1,3,0,1,3,3,0,4,2,1,3,2,1,2,4,2,0,0,3,3,3,0,2,2,0,0,0,0,0,0,1,1,3,3
129,2,1,3,0,2,2,3,3,3,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,0,2,0,1,9,3
130,0,1,1,0,0,3,0,0,3,0,0,3,2,3,2,4,2,0,0,3,1,1,3,2,2,0,0,0,0,0,0,1,1,5,3
131,2,1,2,0,4,4,0,0,3,0,0,3,2,1,2,4,2,0,0,3,3,3,0,2,2,0,0,1,0,0,2,0,1,1,3
132,0,1,2,0,0,6,0,4,3,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,1,2,0,0,3,3
133,0,1,2,0,0,2,3,0,3,0,1,3,2,1,2,4,2,0,0,3,3,3,4,2,2,0,0,0,0,2,0,1,1,3,3
134,0,1,2,0,0,2,3,0,3,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,0,2,0,1,7,3
135,0,1,5,2,1,1,1,2,3,0,0,1,2,1,2,3,2,0,0,1,0,0,3,2,2,0,0,0,0,2,0,1,3,1,3
136,0,1,5,2,1,1,3,2,0,1,0,3,0,1,2,3,2,0,0,1,3,3,0,2,2,0,0,3,4,3,0,1,2,1,3
137,0,1,5,2,1,1,3,2,1,0,0,3,2,1,2,3,2,0,0,1,3,3,0,2,2,0,0,1,4,0,0,1,2,1,3
138,0,1,5,2,0,1,3,2,0,0,1,1,2,1,2,3,2,0,0,1,0,0,3,2,2,0,0,1,0,0,0,1,1,3,3
139,0,1,5,2,1,1,3,2,1,0,0,1,0,1,2,3,2,0,0,1,0,0,3,2,2,0,0,1,0,0,0,1,1,3,3
140,0,1,4,2,1,1,3,2,0,0,0,1,2,1,2,3,2,0,0,1,1,1,0,2,2,0,0,1,0,3,0,1,2,1,3
141,0,1,4,2,2,1,3,2,0,0,0,1,2,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,1,3,3
142,0,1,5,2,1,1,3,2,1,0,0,1,0,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,2,3,3
143,0,1,4,2,2,1,1,2,1,0,0,1,0,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,2,3,3
144,0,1,2,2,0,1,1,2,0,0,1,1,0,1,2,1,2,0,0,1,0,0,3,2,2,0,0,1,0,0,0,1,1,1,3
145,0,1,2,2,2,1,3,2,0,0,0,1,0,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,2,1,3
146,0,1,4,2,0,1,3,2,1,0,0,1,0,1,2,3,2,0,0,1,0,0,3,2,2,0,0,1,0,0,0,1,1,3,3
147,0,1,5,2,3,1,3,2,1,0,0,1,0,1,2,3,2,0,0,1,1,1,0,2,2,0,0,1,0,0,0,1,1,1,3
148,0,1,5,2,0,1,3,2,0,0,0,1,0,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,3,0,1,1,3,3
149,0,1,2,2,0,1,3,2,0,0,0,1,0,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,1,3,3
150,0,1,2,2,2,5,1,2,0,1,0,3,2,1,2,3,2,0,0,3,3,3,0,2,0,0,0,1,0,0,2,0,1,3,3
151,0,1,2,2,3,5,1,2,0,0,0,3,2,1,2,3,2,0,0,3,1,1,0,2,0,0,0,0,0,0,2,0,0,3,3
152,0,1,5,2,2,5,1,2,0,0,0,3,2,1,2,3,2,0,0,3,1,1,0,2,2,0,0,1,0,0,2,0,0,1,3
153,0,1,4,2,2,5,1,2,0,1,0,3,2,1,2,3,2,0,0,3,1,1,0,2,2,0,0,1,0,0,2,0,0,1,3
154,0,1,5,2,2,5,1,2,0,1,0,3,2,1,2,3,2,0,0,1,3,3,0,2,2,0,0,5,0,0,2,0,0,3,3
155,1,1,5,2,0,5,1,2,0,1,0,3,2,1,2,3,2,0,0,1,1,1,3,2,2,0,0,1,0,0,0,1,0,3,3
156,0,1,5,0,2,0,2,1,3,2,1,3,2,1,2,4,2,0,0,1,0,1,3,2,2,2,0,0,0,0,2,0,0,3,2
157,0,1,2,2,0,4,0,1,4,2,1,3,2,1,2,4,2,0,0,3,1,0,3,2,2,0,0,3,0,0,2,0,1,1,3
158,0,2,2,1,0,0,2,1,4,2,1,4,2,1,2,4,2,0,0,3,1,0,3,2,2,0,0,0,0,0,0,1,1,3,3
159,0,1,5,1,0,0,0,1,3,1,1,4,2,1,2,4,2,0,0,3,3,1,0,2,2,0,0,0,0,0,2,0,1,3,3
160,0,1,2,0,0,6,3,0,0,2,1,4,2,1,2,4,2,0,0,1,1,0,3,2,2,0,0,6,0,0,2,0,0,9,3
161,0,1,2,2,0,0,2,1,3,2,1,4,2,0,2,4,2,0,0,1,1,0,3,2,2,0,0,0,0,0,0,1,0,1,2
162,0,1,2,2,3,0,3,0,3,2,1,4,2,3,2,4,2,0,0,3,1,0,3,2,2,0,0,2,0,0,2,0,0,3,3
163,2,1,2,2,0,0,0,0,0,2,1,4,2,4,2,4,2,0,0,4,1,3,4,2,2,0,0,0,0,0,2,0,0,1,2
164,1,1,2,2,3,0,3,1,4,2,1,4,2,1,2,4,2,0,0,3,1,1,3,2,2,0,0,0,0,0,0,1,0,3,1
165,0,1,2,0,0,0,0,0,0,1,1,4,2,3,2,4,2,0,0,1,0,1,3,2,2,0,0,0,0,0,2,0,0,3,3
166,0,1,2,0,0,4,3,0,3,2,1,4,2,3,2,4,2,0,0,3,0,1,3,2,2,0,0,0,0,0,2,0,1,3,2
167,0,2,2,1,3,0,0,1,1,2,1,3,2,1,2,4,2,0,0,1,0,1,3,2,2,0,0,0,0,0,2,0,0,3,3
168,0,1,3,0,4,3,3,3,1,0,1,3,2,1,2,4,2,0,0,3,3,1,3,2,2,0,0,6,0,3,2,0,0,3,3
169,0,1,3,0,3,0,3,3,2,0,1,3,2,3,2,4,2,0,0,3,3,1,3,2,2,0,0,0,0,2,0,1,0,3,4
170,1,1,3,0,0,0,0,1,3,1,0,3,2,1,2,4,2,0,0,1,3,1,0,2,2,0,0,0,0,3,2,0,0,3,3
171,0,1,2,0,0,0,0,3,2,0,0,3,2,3,2,4,2,0,0,1,3,3,0,2,2,0,0,0,0,3,2,0,1,3,3
172,0,1,3,0,3,0,2,3,4,0,0,3,2,1,2,4,2,0,0,1,3,1,0,2,2,0,0,4,0,0,2,0,0,1,3
173,0,1,0,2,0,0,2,4,4,2,0,3,2,1,2,4,2,0,0,1,3,1,3,2,2,0,0,0,0,0,2,0,0,3,3
174,0,1,1,0,0,6,3,3,2,0,0,3,2,1,2,4,2,0,0,3,3,3,0,2,2,0,0,0,0,0,2,0,0,3,3
175,0,1,2,0,0,4,3,3,4,0,1,3,2,1,2,4,2,0,0,3,3,3,3,2,2,0,0,1,0,0,2,0,1,3,3
176,0,1,1,0,1,0,3,3,1,0,0,4,2,1,2,4,2,0,0,1,1,1,0,2,2,0,0,1,0,0,2,2,1,3,2
177,0,1,1,0,0,0,3,4,1,0,0,4,2,1,2,4,2,0,0,1,1,1,0,2,2,0,0,1,0,0,2,0,0,3,2
178,0,1,3,0,0,0,3,3,1,0,1,4,2,1,2,4,2,0,0,3,1,1,3,0,2,0,0,0,0,2,2,0,0,3,1
179,0,1,2,0,3,0,3,4,1,2,1,4,2,1,2,4,2,0,0,3,1,1,3,0,2,0,0,1,0,0,2,0,0,7,2
180,0,1,3,2,2,0,3,4,1,2,0,4,2,1,2,4,2,0,0,1,1,0,3,0,2,0,0,1,0,0,2,0,0,3,3
181,0,1,0,0,3,0,0,3,2,0,0,4,2,1,2,4,2,0,0,1,1,1,3,2,2,0,0,1,0,0,2,0,0,3,1
182,0,1,0,0,2,0,3,3,1,2,0,4,2,1,2,4,2,0,0,1,1,1,3,0,0,0,0,5,0,0,2,0,0,3,1
183,0,1,1,0,3,2,3,4,2,2,0,3,2,1,2,4,2,0,0,0,0,1,2,0,2,0,0,1,0,2,2,0,0,3,1
184,0,1,1,0,1,0,3,4,3,2,0,4,2,0,2,4,2,0,0,1,1,1,3,0,2,0,0,5,0,2,2,0,0,3,1
185,0,1,0,0,1,2,3,4,2,0,0,3,2,0,2,4,2,0,0,1,0,1,3,0,2,0,0,0,0,0,2,0,0,3,1
186,0,1,0,0,3,0,3,4,2,2,0,4,2,0,2,4,2,0,0,1,1,1,2,0,2,0,0,0,0,0,2,0,0,3,1
187,0,1,3,0,3,2,3,4,2,2,1,3,2,1,2,4,2,0,0,1,1,1,4,0,2,0,0,1,0,0,2,0,0,3,1
188,0,1,3,0,0,2,3,4,2,2,1,4,2,0,2,4,2,0,0,1,0,1,3,0,2,0,0,5,0,0,2,0,0,3,1
189,0,1,3,0,2,2,0,4,2,2,0,3,2,1,2,4,2,0,0,1,0,1,3,0,2,0,0,1,0,2,2,0,0,3,1
190,0,1,1,0,1,0,0,4,2,2,0,4,2,1,2,4,2,0,0,1,1,1,3,0,2,0,0,5,0,0,2,0,0,3,1
191,0,1,0,0,3,2,2,4,2,2,1,3,2,0,2,4,2,0,0,1,0,1,2,0,2,0,0,0,0,0,2,0,1,3,1
192,0,1,1,0,2,0,3,1,0,2,1,4,2,1,2,4,2,0,0,1,0,0,3,2,2,0,0,6,0,0,2,0,1,3,1
193,0,1,2,1,0,4,0,1,3,2,1,3,2,1,2,4,2,0,0,1,1,3,0,2,2,0,0,0,0,0,2,0,0,3,3
